full_text,klasifikasi,klasifikasi_bayes
dongok lo makin pamerin jink orang agas ikn dia beri contoh dong hayooo lebih semangat pamerin dongok jink,netral,netral
sentil jokowi ancang konsep ikn kecewa berat ibu kota negara serah investor,netral,netral
konteks bahas kenapaa jokowi suruh tinggal ikn sebenanti masa perintah selesai amp ganti prabowo prabowo lah akan ngawal perintah ikn bukan jokowi paham luh thololllllllll ngiahahhabajajjaja,netral,netral
simpan aset sekali usd project kaya ikn bau bau mirip project mercusuar zaman soekarno cuma buat gagah gagah doang,netral,netral
ikn ada tuh wkwkwkkwkwkwkwkwkwkkwkwkwkkwkwkwkwkwkkwkwkwkwkwkwkwkwkkwkwkwkwkwkkwkwkwkwkkwkwwkkwkwkwkwkwkwkkwkwkwkwwkwkkwkwkskkwkwkwkwkwkwkwkkwkwkwkwkwkkwkwkwkwkkwkwkwkwkwkwkkwkwkwkkwkwkwkwkwkkwkwkwkkwkwkwkwkkwkwkwkwkwkwkkwkwkwkwkwkkwkkwkwkwkkwkwkwkwkwkkwkwkwkkwkw,netral,netral
ane tuju tuch ikn ikat khayal ndungu lanjut le langkah loe dah bener,netral,netral
mantab om telah video saya lihat video sbelumya memang ngak sebut pulau tentu sebut ikn ibu kota koruptor,netral,netral
lah kalau minta rumah jakarta or solo terus kenapaa ada harus ntuk tinggal ikn dia ga punya penting dangn perintah kalau jokowi hubung dangn perintah prabowo elu nyinyirin cawecawe kan sablenk elu nyat ngiahaha,netral,netral
candi ikn,netral,netral
langkah adalah bagi visi besar ikn nusanantia masa depan lebih baik,netral,netral
nah kalau kasih rumah yah bebas donk milih aja penting sesuai dangn atur udah tetap skrng aya tanya ngapain jokowi milih tinggal ikn anak cucu di solo kan tholol elu ga mikir jin,netral,netral
eeh dongok baca jokowi kan minta rumah ikn,netral,netral
lebih aman ikn jauh dari negara proxy negara asean potensi gabung utara jauh dari selat malaka potensi bomber cruise missile lebih aman mampu ada mampu negara asean ngadepin musuh utara lebih baik punya bemper dariipada ngga sama sekal,netral,netral
misal gua bahas soal ikn psti aja blg ngapain si ikn ngabisin duit nguntungin jabat blabla gua kayak itu program lanjut elu dukung lu pilih sekarang baru sadar apa gapaham gua tuh heran,netral,netral
napa ni rezim istirahat dolo ikn ja ni apbn boncoss,netral,netral
kendara listrik electric vehicle ev pentidak ada ev ikn nusanantia tak asal perintah juga pihak swasta,netral,netral
uji coba kereta rel segera laksana,netral,netral
teracam malah semua di pajakin ikn,netral,netral
konsep transportasi ikn bas kendara listrik,netral,netral
ikn guna transportasi cerdas,netral,netral
ikn ikat keluarga naga,netral,netral
ikn nusanantia kota pionir transportasi cerdas,netral,netral
kan rumah jokowi solo ngapain maksain beli rumah ikn blog goblok om lu mau jual rumah lu skrng amp beli rumah ikn padahl keluarga lu solo begok bener kadal buduk van banteng kurap,netral,netral
itailiano om bule ogah minta maaf kena semprot vt ikn,netral,netral
luar biasa kerja sama motorola aman ikn nusanantia,netral,netral
nah skrng apa posisi amp peran shingga layak dapat rumah ikn tanya aya enanti kalau nyata jadi tinggal ikn apa elu akan nyinyir udah bukan presiden koq dapet rumah ikn boros lah kan jadi bahan pelintir manusia tholol kaya lo,netral,netral
sig siap penuh butuh bangun ikn konsep lanjut,netral,netral
kata melek politik eh nyata cundang sakit hati ikn jalan terus elu bakal tambah stresss sakit hati kasihan deh elu,netral,netral
kolaborasi anantia otorita ikn motorola solution inc tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
kolaborasi anantia otorita ikn motorola solution inc tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
otorita ikn tidak adakan latih soft skill kewirausahaan laku umkm wilayah ikn tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,positif,netral
ganti pimpin otorita ikn kurang minat investor tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
menteri pupr menyalesaikan bangun bendung paku semoi kapasitas liter per detik intake sungai paku kapasitas liter per detik sebut pasok butuh air baku duduk ikn nusanantia,netral,netral
elu bayangin lah dulu bensin lu cuman sekarang jadi bukan uang perintah bikin subsidi penuh butuh rakyat malah dipake bangun ikn dipake buat nutupnutupin biaya makan gratis subsidi motor listrik jg aneh betul bener tuh baik per,netral,netral
pak jokowi sibuk ngurus ikn biar dipake upacara,netral,netral
kawasan ikn jadi wilayah khusus kendara listrik electric vehicle ev pentidak ada asal kerjasama anantia perintah pihak swasta,netral,netral
ikn lah bahlul,netral,netral
kawasan ikn nusanantia jadi area ramah lingkung hanya untuk kendara listrik electric vehicle ev,netral,netral
uji coba kereta rel autonomous rail transit art akan segera laksana nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev pentidak ada ev ikn nusanantia tak asal perintah,positif,positif
bangun ikn terus tunjuk kembang positif ini landas pacu mulai aspal tanda kesiap layan terbang masa depan,netral,netral
karyawan phk nti bawa kerja di ikn,netral,netral
kasi kan kutub tinggal bukan ikn,netral,netral
viral video bule ngoceh ibukota koruptor nepotisme satgas sebut lokasi bukan ikn kaltim lewat,netral,netral
progres ikn cermin kolaborasi baik anantia sektor perintah swasta,netral,netral
lah dia ngamuk yah kan emang bnr wkwkwkwk projek ikn aka ibukota hdkdldhdudjdk wkwkwkwk sekarang apbn kata mau ambil buat nutup defisit yah wkwkwkwk,netral,netral
apbn kurang terus rocky gerung usul biaya ikn lalu judi online,netral,netral
iknibukota koruptor nepotisme salut buat si bule,netral,netral
sdh jadi candi ikn,netral,netral
mungkin makan restoran hanya jokowi amp jabat kunjung ikn rakyat kecil amp miskin sekitar ikn bagi cium bau masakan lezat jauh,netral,netral
jalan tol sukabumi longsor nunggu ikn jadi dulu baru lanjut baik,netral,netral
ikn jadi kota pionir transportasi cerdas,netral,netral
ibu kota nusanantia guna transportasi cerdas,netral,netral
mau pindah ikn,netral,netral
sedang viral buah video rekam orang bule wna aku sedang ada ikn ibu kota nusanantia mereview situasi kondisi dia lihat yuk support agar tetap karya klik link trakteer bawah join,netral,netral
hrsnya hapus koar sdh bawa investor triliun ikn tau zonk bodong,netral,netral
nyata investor ikn pindah solo,netral,netral
rocky gerung prediksi prabowo pilih beri makan rakyat ketimbang ikn sinyal perang lawan jokowi,netral,netral
alat transportasi mada depan ikn gaes,netral,netral
proyak ikn nusanantia dukung transformasi ekonomi indonesia arah digitalisasi,netral,netral
kemenpupr pasti air pasok listrik jaring gas hingga jaring internet sedia ikn agustus tahu agustus laku upacara ikn rangka raya hari merdeka indonesia,netral,netral
tondo tondo ikn bukan prioritas makan gratis sekolah industrialisasi mineral indonesia bangun tani bangun sumberdaya manusia tingkat kualitas sdm bidang stem bang,netral,netral
kerjasama bangun ikn motorola bikin ikn nusanantia jadi kota aman,netral,netral
bilang bener kan ikn ibukota korupsi nepotisme emang buat siapa maaf di ikn kos kosan rumah kontra semua cuma buat punya duit,netral,netral
maju pesat lapang upacara ikn selesai,netral,netral
konsep transportasi ikn bas kendara listrik,netral,netral
mti lu supporter allah anak politik lulus hubung internasional dulu kerja baca jurnal nulis esay ekonomi internasional indonesia udah lost cause rupiah turun ikn makan siang gratis nepotisme korupsi semua lo embat,netral,netral
alhamdulillah kalau candi ikn dilanjutin masa rakyat nanggung biaya makan siang gratis sama candi ikn jokowi,netral,netral
jadi belanja negara rang proyak rang masuk ikn makan mandek pns ada uang masuk dagang akan sepi semua bayar hutang negara akan jatuh tempo,netral,netral
konsep transportasi ikn bas kendara listrik,netral,netral
pindah ikn sekalimantan dampak positif tumbuh ekonomi negara,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel,netral,netral
ikn ancam mangkrak proyak bangga jokowi ancam mangkrak investasi asing iniil apbn mulai ngosngosan,netral,netral
tanda anggota dpr minta pindah ikn,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel,netral,netral
pilkada jakarta sumut menteri komisaris ketua otorita ikn,netral,netral
ikn dekat sm teluk balikpapan pas pinggir,netral,netral
hehehekenapa baru sekarang pak lama sibuk pikir layout tempat duduk lapang upacara agustus dengan yah cc,netral,netral
ikm apa ikn mencla mencle ajapagi tahu siang deleambyaaarrr kaleng krupukhahahhaa,netral,netral
bahlil cecar dpr gegara investor asing ikn iniil lewat news,netral,netral
yuk pindah ikn,netral,netral
tanda tanda dpr hra pindah ikn,netral,netral
telusur nyata si bule miskin bikin konten bogor bukan ikn anak abah kaum labu konten sibule otak kerdil,netral,netral
ohhhh jadi bpk kalau pensiun pindah solo hal mana sales ikn kata ikn sentrisnya indonesia kota ter hijau dunia kota bebas polusi banjir macet kota nyaman dsbnya promonya bangun ikn pakai duit ratus triliyunan ngga tarik pak,netral,netral
ekspor apa dulu kalau padat karya boleh ekspor sda lebih jd boncos indonesia dg rusa alam akibat food estate amp ikn sekalimantan timah jg korupsi coba jabar ekspor indonesia tinggi produk apa,netral,netral
waalaikumsalam bagaimana pesan unit ikn kirim siap dubes upacara an,netral,netral
woooybanci kere dongoook siapa tempat tinggal ikn kecuali mukidi ada hubung mukidi pny kapasitas maupun jabat,netral,netral
ikn nusanantia dukung tingkat guna energi bersih ramah lingkung,netral,netral
mesti mimin kasih contoh tinggal ikn lol,positif,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana nanti kawasan ikn nusanantia untuk,positif,positif
warga padang dukung bangun ikn nusanantia,netral,netral
ikn nusanantia dukung cipta lingkung bisnis inovatif kompetitif,netral,netral
warga pekanbaru dukung bangun ikn nusanantia,netral,netral
hah siapa di ikn coba,netral,netral
warga denpasar awal bangun ikn,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana nanti kawasan ikn nusanantia untuk,positif,positif
mudah pi network segera jd mata uang global tgl juni besok ikn tetap lanjut,netral,netral
iya fiksi ikn ibukota kakek nenek jadi jangan terlalu sikap sangat serius hehehehe,netral,netral
ikn wujud indonesia maju,netral,netral
habis duit trilyunan masa henti saja terus bangun mau guna apa bangun jadi perintah ikut bagaimana posisi soal ikn,netral,netral
ikn nusanantia dukung kembang sumber daya manusia bidang teknologi informasi,netral,netral
oligarki bisa gampang kendali semua urus negeri sana lokasi cukup remote ketok bijak baru ikn lebih aman ikn steril bagai macam konflik sosial,negatif,netral
kalah hormat nyamen minta jatah menteri bajernya lo percaya bulan mau upacara amp pindah ikn kibulin ko bangga otak bloon,netral,netral
ibu kota nusanantia mengginakan transportasi cerdas upa taksi terbang advanced air mobility,positif,netral
ibu kota nusanantia kota pionir transportasi cerdas,netral,netral
ikn jadi ruang super aman eksklusif orangorang kaya hidup dekat perintah aman lindung aparat akan sentuh lapis masayaarakat kelas bawah bebas konflik horisontal,positif,netral
nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,netral,netral
ikn pentidak ada alutsista makan siang gratis terus terus revisi sesuai janji kampa semua butuh biaya besar mana akan gorok dapat hemat anggar,netral,netral
serius mau ikut cagubcawagub jakarta gak solo dulu yang uda pst kosong tinggal kakak pst menang lah solo tunjuk jd gubernur ikn biar keren cv kenapa maksain banget nyalonin jakarta anggar n fasilitas jakarta memang giur,netral,netral
om bule bilang ikn panjang ibukota koruptor nepotisme well mau ban ga bukti,netral,netral
suara oposisi abai rakyat luar jawa ingin ikn pindah keluar jawa lagi jawa sentris ttapi indonesia sentris indonesia bukan jawa jakarta,netral,netral
hebat motorola aman ikn nusanantia makin jamin,netral,netral
nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,netral,netral
aku likes tweetnya lebih dulu lah nyata gocek kemaren dukung ikn lanjut malah sekarang sambat harihari heran orang kek ini bersayaukur akhir orang kek gitu sadar telat jadi bubur mau sambat mah,netral,netral
langkah besar motorola aman ikn nusanantia,netral,netral
si begok ngotot bingits masalah amp ikn tanya balik apa urgensi jokowi tinggal ikn pasca jabat ada jawab begini refleksi iq nalar ken kuliah sarjana kayak program wan pekob mampu ada tapi teriak kenceng,negatif,netral
pasok listrik air gas hingga internet pasti sedia agustus,netral,netral
ibukota sifat simbolis perintah mana ikn bukan last resort upaya perintah bagi oligarki cipta ruang utopia nanti guna orangorang kaya di republik bagai tempat aman mereka tak sentuh,netral,netral
minta proyak ikn pak,netral,netral
maju lapang upacara ikn sangat membatidakan,netral,netral
skrng aya tanya kapasitas apa kudu tinggal ikn upacara agustus pimpin jokowi terus oktober penyarahanpengalihan kuasa bagai kepala negara baru lalu urgensi jokowi stay di ikn guoblok lalu jabat amp peran apa lol,positif,netral
posisi elu kan sampah masayaarakat mosok iya mau ditempatin ikn,netral,netral
om bule ikn hayalan blaka muka bule heboh bicara fakta viral,netral,netral
ikn nusanantia jadi kota lebih nyaman berkat kelola emisi baik,netral,netral
pas jadi kado buat an ikn monumen sengsara bangsa,netral,netral
waris hutang gemoy jokowi seperti ikn jadi hambalang pak prabowo lebih utama laksana program makan gratis,netral,netral
alhamdulillah ikn runtuh,netral,netral
ikn punya transportasi cerdas,netral,netral
trs sekarang uang minus ikn apa tetap lanjut,negatif,netral
konsep tarik ikn nusanantia,netral,netral
bandara ikn terus jalan,netral,netral
buat ikn,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
kait kembang energi baru baru ikn plts kapasitas mw siap operasi penuh laksana upacara hut republik indonesia datang,netral,netral
abang sayang sama ko dek klw nongol ko hari rasa runtuh ikn,netral,netral
dia bayar masalah regulasi ketua oikn juga sekarang malah dpt kerja baru sangkut ikn maen bang skycrpercity biar tahu kota naik dikit,netral,netral
ikn nusanantia guna transportasi cerdas,netral,netral
konsep transportasi ikn bas kendara listrik,netral,netral
progres bangun bandara ikn terus jalan,netral,netral
bulan mau pindah ikn agustus upacara sana percaya,netral,netral
menteri investasi bahlil sebut soal investor asing ikn apa kata dulu sekarang,netral,netral
presiden republik indonesia joko widodo laku leta batu pertama groundbreaking bangun pusat ekosistem transisi energi layan digital pertama besar tanah air pln hub jantung ibu kota negara ikn nusanantia rabu,netral,netral
ngebolehin siapa tiap masa tiap bijak pro kontra g jamin indo kaya bijak ikn akan yang kontra,netral,netral
teknologi panti akan tingkat nyaman hidup ikn nusanantia,netral,netral
erick thohir ajar bangun pusat uang ikn uea,netral,netral
proyak ikn nusanantia cipta lapang kerja signifikan indonesia,netral,netral
bulan mau pindah ikn agustus percaya,netral,netral
jubir oikn pasti video wna sebut ikn kota koruptor hoaks kaesang ipar maut arafah cerai login,netral,netral
electrizen pindah ibu kota negara ikn bukan dar diri gedung perintah merupakaan transformasi indonesia wujud adab lebih maju,netral,netral
kalau kbanyakan investor asing tar kacung yaman anak abah teriak lagiikn cuma aseng cukong dllhadehhhh,netral,netral
investor asing ikn masuk klaster dua kaesang ipar maut arafah ester cerai,netral,netral
hitung emisi kendara ikn nusanantia lebih cepat tanggap polusi,netral,netral
bangun ikn tetap jalan tidak turun target kaesang ester arafah anies cerai,netral,netral
nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
perilaku bohong sekarang turun anak angkuh debat capres ban statement prof mahfud md soal investor ikn kata lihat google,netral,netral
konsep transportasi ikn bas kendara listrik ipar maut susu arafah ester jerman istri,netral,netral
progres bangun bandara ikn terus jalan ipar maut susu arafah ester jerman istri,netral,netral
langkah hebat motorola ikn nusanantia,netral,netral
uji coba kereta rel ikn segera laksana ipar maut susu arafah ester jerman istri,netral,netral
bangun ikn usung konsep lanjut lgbt ipar maut kaesang ester cerai,netral,netral
itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres lapang upacara ikn sangat kesan,netral,netral
lapang upacara ikn hampir rampung selamat,netral,netral
terima kasih motorola aman ikn nusanantia makin kuat,netral,netral
said didu nilai ikn pindah tukang bakso jakarta ibu kota baru bukan pindah pusat ekonomi,netral,netral
otorita ikn papar progres ikn banyuwangi ipar maut kaesang ester anies arafah,netral,netral
terima kasih motorola yakinn aman ikn nusanantia lebih baik,netral,netral
ikn nusanantia tunjuk teknologi jadi solusi masalah kota,netral,netral
bahas ikn sama sekretaris otorita ikn achmad jaka santos adiwijaya,netral,netral
lapang upacara ikn siap sambut hut ri megah,netral,netral
ikn kasi rakyat,netral,netral
progres luar biasa ikn siap sambut hut ri,netral,netral
bangun kantor presiden ikn capai persen siap guna juli ipar maut kaesang lgbt ester arafah,netral,netral
prabowo henti ikn arti ada kurang lebih triliun rugi uang negara bocor apbn besar panjang sejarah nkri,netral,netral
itu uji coba kereta rel autonomous rail transit art akan segera laksana nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,positif,positif
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
istana presiden ikn siap tempat presiden agustus ipar maut kaesang ester lgbt cerai,netral,netral
ikn nusanantia maju umkm,netral,netral
uji coba art ikn segera laksana,netral,netral
progres bandara ikn nusanantia terus jalan runway mulai aspal uji coba autonomous rail transit art segera laksana ikn nusanantia guna kendara listrik ev perintah swasta,positif,positif
progres bandara ikn nusanantia terus jalan runway mulai aspal uji coba autonomous rail transit art segera laksana ikn nusanantia guna kendara listrik ev perintah swasta,positif,positif
progres bandara ikn nusanantia terus jalan runway mulai aspal uji coba autonomous rail transit art segera laksana ikn nusanantia guna kendara listrik ev perintah swasta,positif,positif
ikn kan emang bahan olokolok sejak pertama muncul indon ni emang gitu apa kulit putih terus bule pokenapa e kalauk bule brati londo trs dipikire mesti wna trs pikir lemah isa dilaporlapor,netral,netral
menteri pupr siap sarana dasar ikn tarik investor asing kaesang ester ipar maut lgbt cerai,netral,netral
ikn jadi smart city,positif,netral
sekal jdi korban sekali ribut saling menyalahkandan ujung rakyat salah nanggung beban mirip ikn,netral,netral
air baku ikn punya unggul langsung minum kaesang lgbt ipar maut ester arafah,netral,netral
progres bangun bandara ikn nusanantia terus jalan nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,netral,netral
pernah ikm mas pernah tidur malam lokasi ikn,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
warga jayapura awal bangun ikn,netral,netral
konsep transportasi ikn bas kendara listrik,netral,netral
ikn adab baru nasionalisme lgbt ipar maut kaesang arafah semangka,netral,netral
ikn kota pionir transportasi cerdas,netral,netral
prestasi jabat korup mental aparat libat kriminal politis jadi komisaris mala kedok tapera ambisi mega proyak ikn nilai rupiah nyungsep tahun,negatif,netral
akibat bangun infrastruktur ikn korupsi nepotisme kuyakinn krismon lama,netral,netral
makanya cepet pindah ikn sono lift baru dah,netral,netral
teluk ikn,netral,netral
cukupbuktidia bilang singkat ikn aj banyak singkat ikn,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan,netral,netral
tabir ikn lihat video saribulih,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun fasilitas umum ikn nunsatara terus jalan,netral,netral
progres bangun fasilitas umum ikn nunsatara terus jalan,netral,netral
progres bangun fasilitas umum ikn nunsatara terus jalan,netral,netral
progres bangun fasilitas umum ikn nunsatara terus jalan,netral,netral
progres bangun fasilitas umum ikn nunsatara terus jalan,netral,netral
apa di banggain ikn cuma buat rumah jabat,netral,netral
valid kalau jadi cadang just in case jakarta jatuh ibukota harus tetap jakarta ikn jd backup kalau ibukota jadi pindah ikn next target langsung ikn kalau ikut logika ikn tumbang perintah tumbang sama jadi,netral,netral
ikn proyak bancak jokowi kroni lihat endingnya akan tambah masalah republik,netral,netral
kontruksi lapang upacara ikn ester joko anwar kaesang arafah ipar maut congratulations jin login jerman,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,netral,netral
regime makin otoriter kritik dg olok baperan langsung lapor polisi ada kritik kalau proyak ikn dimarkup gede baper lapor polisi kalau mau kritik mau olok mau puja yo jangan jd jabat cuk tuju,netral,netral
terima kasih motorola teknologi sangat butuh ikn nusanantia,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
buka merdeka sama buka thn bangun indonesia sentris buka ikn unt perata,netral,netral
pentidak ada ev ikn nusanantia tak asal perintah juga pihak swasta,netral,netral
pentidak ada ev ikn nusanantia tak asal perintah juga pihak swasta,netral,netral
hitung emisi ikn nusanantia lebih cepat atas masalah polusi,netral,netral
bukan cuma ikn sebut juga adil ekologiiklim ham tidak masuk sama sekal siapsiap jahat lingkung agraria ham justifikasi argumen bangun nasional mirip alam masa orde baru,netral,netral
cocok ikn hrs semua aspek trlibat amp libat sistematis cermat ukur sgala resiko apa sdh hitung baik segi ekosistem humanity benefit rugi apa akan muncul pokenapa e sluruh aspek trmasuk tak duga jelas simsalabimjadi,netral,netral
lapang upacara ikn hampir siap luar biasa,netral,netral
luar biasa motorola bawa teknologi canggih ikn nusanantia,netral,netral
pantes perintah getol bikin tapera mau ngasih sanksi kalau kerja ga mau gaji potong tapera dah buat modal bangun ikn kepalang tanggung kalau mangkrak malu sampai tiba waktu lengser,netral,netral
upadate bangun ikn ester joko anwar kaesang arafah ipar maut congratulations jin login jerman,netral,netral
harus minta maaf kan dak sebut pulau sekalimantan dia celoteh ikn kontroversi ugal ugalan pakai uang rakyat maafin om bule maksud baik otak para budak maklum iq lagi jongkenapa kena sarap gratis,netral,netral
teknologi aman motorola sangat bantu ikn nusanantia,netral,netral
ikn jadi simbol jaya jokowiinvestor antri daftar,netral,netral
mantab om buleikn ibukota koruptor nepotisme mulai tingkat lurah camat yang duduk dprmpr banyak kaum koruptornyaemang om bule orang paling berani juang sendiri lawan koruptorsalut buat om bule,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
pesimis ikn nusanantia rocky gerung sorot tiada investor ambisi politik,netral,netral
cctv panti bantu ikn nusanantia atur lalu lintas lebih baik,netral,netral
hut ri ikn lebih spesial lapang baru,netral,netral
reatoran bangun apa tak bakal rugikrn ikn situasi hutan paling bakal belanja orang utan sekali,netral,netral
ikn saja jadi monumen proyak gagal hambalang efek akan koruptor tangkap lingkar proyak,netral,netral
